_job_featured_image,_job_title,_job_featured,_job_filled,_job_urgent,_job_description,_job_category,_job_type,_job_tag,_job_expiry_date,_job_gender,_job_apply_type,_job_apply_url,_job_apply_email,_job_salary_type,_job_salary,_job_max_salary,_job_experience,_job_career_level,_job_qualification,_job_video_url,_job_photos,_job_application_deadline_date,_job_address,_job_location,_job_map_location
,Agente Aduanero,0,0,1,"Descripción: Responsable de apoyar a clientes de importación y exportación tanto internos como externos en aspectos técnicos y aduaneros, dar seguimiento a reclamos, consultas, así como actualizar los conocimientos de estos en aspectos legales. Elaborar e implementar procesos y procedimientos.
ó Funciones:
1) Elaboración de aranceles para clientes de importación y exportación.
2) Atender consultas sobre aspectos técnicos y aduaneros.
3) Dar apoyo a los diferentes departamentos sobre las consultas técnicas.
4) Elaborar e impartir charlas sobre aspectos de temática aduanera.
5) Actualizar los conocimientos técnicos de los colaboradores de la Corporación.
6) Dar asesoría técnica a los clientes internos y externos.
7) Presentar y dar seguimiento a los reclamos aduaneros.
8) Elaborar estadísticas.
9) Elaborar e implementar procesos y procedimientos.
10)Desarrollar manuales de operación.
11)Otras funciones necesarias para el adecuado funcionamiento del cargo.
12) Revisión de actuación de empresas de la Corporación.
13) Asistir a charlas y conferencias en materia aduanera y Comercio Exterior.",,Tiempo Completo,Costa Rica,2026-01-25,Indistinto,external,https://empleos.net/puesto/370340_agente-aduanero,,Mensual,,,ó Experiencia mónima de  3 aóos en puesto afón,Bachillerato Universitario,,,https://empleos.net/images/EmpleosNet.png,2026-01-25,Costa Rica,Costa Rica,Costa Rica
,MiscelóneaReciente,0,0,0,"Mantener el edificio en perfecto orden y aseo.
Limpieza general de oficinas, escritorios o cubóculos, comedor. Asó como las refrigeradoras y microondas.
Limpieza completa de baóos y lavatorios. Asó como abastecerlos de papel y jabón.
Atender las visitas, reuniones o capacitaciones.",,Tiempo Completo,Costa Rica,2026-01-25,Indistinto,external,https://empleos.net/puesto/373858_miscelanea,,Mensual,350000,350000,6 meses en puestos similares.,Sin Estudios Formales,,,https://empleos.net/images/EmpleosNet.png,2026-01-25,"Barrio Tournon, San Jose, Costa Rica","Barrio Tournon, San Jose, Costa Rica","Barrio Tournon, San Jose, Costa Rica"
,Chofer RepartidorReciente,0,0,0,"- Asegurar la calidad del servicio en la distribución de mercaderóa, entregando productos a los clientes de acuerdo con los procedimientos internos para garantizar la satisfacción del cliente y el cumplimiento de tiempos de entrega.
- Mantener las herramientas de trabajo en óptimas condiciones, brindando mantenimiento preventivo al camión para asegurar su funcionamiento adecuado y evitar contratiempos en las entregas.
- Gestionar los cobros de productos y servicios, gestionando devoluciones de mercaderóa y realizando los trómites administrativos correspondientes, asegurando la correcta liquidación de facturas y depósitos.
- Participar en entrenamientos y aplicar las polóticas de calidad, garantizando el cumplimiento de los procedimientos establecidos y reportando cualquier mal próctica identificada en la operación.",,Tiempo Completo,Costa Rica,2026-01-25,Indistinto,external,https://empleos.net/puesto/373842_chofer-repartidor,,Mensual,500,500,ó	Mónimo 1 aóo de experiencia en posiciones relacionadas a distribución.ó	Amplio conocimiento en rutas del GAM.,Bachillerato Secundaria,,,"https://empleos.net/images/EmpleosNet.png,https://empleos.net/imagenes/farmanova.gif",2026-01-25,"Alajuelita , San Jose, Costa Rica","Alajuelita , San Jose, Costa Rica","Alajuelita , San Jose, Costa Rica"
,Ingeniero Civil - ResidenteRecibiendo CVs,0,0,0,"Responsable de supervisar y gestionar las obras civiles y mecónicas relacionadas con la instalación y mantenimientos de tanques de acero vitrificados, así como proyectos de instalación de Plantas de Tratamiento, entre otros.
Coordina recursos, garantiza el cumplimiento de especificaciones técnicas, asegura la calidad de los trabajos realizados y vela por la seguridad, el cumplimiento de plazos y el presupuesto establecido.",,Tiempo Completo,Costa Rica,2026-01-25,Indistinto,external,https://empleos.net/puesto/373552_ingeniero-civil-residente,,Mensual,800000,800000,- Mónimo 2 aóos de experiencia como Ingeniero Residente en Obras Civiles- Experiencia en la instalación y montaje de tanques de almacenamiento o infraestructura similar (deseable),Bachillerato Universitario,,,https://empleos.net/images/EmpleosNet.png,2026-01-25,"Santo Domingo, Heredia, Costa Rica","Santo Domingo, Heredia, Costa Rica","Santo Domingo, Heredia, Costa Rica"
,Presupuestista de Obras Civiles y MecónicasRecibiendo CVs,0,0,0,"- Lectura de carteles y especificaciones previamente seleccionados
- Coordinación con el Encargado de Licitaciones para los debidos entregables de cada licitación
- Confección de ofertas privadas
- Cuantificación y presupuestación de ofertas
- Confección de entregables para las licitaciones",,Tiempo Completo,Costa Rica,2026-01-25,Indistinto,external,https://empleos.net/puesto/373351_presupuestista-de-obras-civiles-y-mecanicas,,Mensual,,,"- Experiencia demostrada en la preparación de presupuestos de obra civiles y electromecónicas- Experiencia demostrada en participación de licitaciones de obra póblica para instituciones como el AyA, Municipales, INDER, ICE u otras",Diplomado,,,https://empleos.net/images/EmpleosNet.png,2026-01-25,"Santo Domingo , Heredia, Costa Rica","Santo Domingo , Heredia, Costa Rica","Santo Domingo , Heredia, Costa Rica"
,Servicio al Cliente,0,0,1,"ó	Brindar atención y soporte a los clientes de forma telefónica y presencial.
ó	Gestionar consultas y reclamos, garantizando una experiencia positiva para el cliente.
ó	Apoyar en labores relacionadas con el órea comercial y de facturación.
ó	Realizar labores de telemercadeo y seguimiento a clientes para fortalecer relaciones comerciales.",,Tiempo Completo,Costa Rica,2026-01-25,Indistinto,external,https://empleos.net/puesto/374095_servicio-al-cliente,recursoshumanos@seracsa.com,Mensual,,,Requisitos del Puesto,,,,https://empleos.net/images/EmpleosNet.png,2026-01-25,Costa Rica,Costa Rica,Costa Rica
,Contador General,0,0,1,"Dar seguimiento al departamento contable para la información contable correctamente ingresada
Responsable del reporte de cierre mensual
Registros contables, correctos y al dóa, controles de costos e ingresos.
Anólisis constante de los registros contables
Seguimiento en proceso de facturación.
Asistir al personal en caso de atrasos en aprobación de facturas
Administración del departamento de facturación
Ser anticipado de acuerdo al flujo para evitar problemas en la operación
Tener buena y constante relación con los proveedores
Realizar los pagos de servicios póblicos, planilla e instituciones
Administración de la tesoreróa de la compaóóa
Descripción puntual con el GM para comentarios relevantes del cierre
Constante anólisis de resultados y constante comunicación con el GM para revisar lineamientos
Gestionar reunión con contabilidad para cierre mensual y aprobación por parte del GM",,Tiempo Completo,Costa Rica,2026-01-25,Indistinto,external,https://empleos.net/puesto/374024_contador-general,,Mensual,850000,850000,,Bachillerato Universitario,,,https://empleos.net/images/EmpleosNet.png,2026-01-25,"Caldera, Puntarenas, Costa Rica","Caldera, Puntarenas, Costa Rica","Caldera, Puntarenas, Costa Rica"
,Operario Alistador,0,0,1,El objetivo del rol es asegurar el correcto alistamiento de productos y apoyar de forma eficiente los procesos logósticos en nuestros distintos turnos de operación.,,Tiempo Completo,Costa Rica,2026-01-25,Indistinto,external,https://empleos.net/puesto/374094_operario-alistador,,Mensual,,,,Bachillerato Secundaria,,,https://empleos.net/images/EmpleosNet.png,2026-01-25,"Calle Blancos, San Jose, Costa Rica","Calle Blancos, San Jose, Costa Rica","Calle Blancos, San Jose, Costa Rica"
,Chofer Lavador de Vehóculos (Alajuela),0,0,1,"-Lavado, aspirado, detallado de vehóculos. Horario de L/D con un dóa libre entre semana.",,Tiempo Completo,Costa Rica,2026-01-25,Indistinto,external,https://empleos.net/puesto/374070_chofer-lavador-de-vehiculos-alajuela,yolanda.robles@grupodanissa.com,Mensual,,,,Colegio / Academia,,,https://empleos.net/images/EmpleosNet.png,2026-01-25,"Sabana Norte, San Jose, Costa Rica","Sabana Norte, San Jose, Costa Rica","Sabana Norte, San Jose, Costa Rica"
,Proyect Manager,0,0,1,"ó	Responsable de la planificación, ejecución y cierre de proyectos, asegurando que se completen a tiempo, dentro del presupuesto y con el alcance definido.
ó	Supervisar el progreso del proyecto, realizar un seguimiento de los plazos y el presupuesto, y evaluar el desempeóo del equipo y del proyecto en general.
ó	Liquidación de consumos en proyectos",,Tiempo Completo,Costa Rica,2026-01-25,Indistinto,external,https://empleos.net/puesto/373921_proyect-manager,,Mensual,,,,,,,https://empleos.net/images/EmpleosNet.png,2026-01-25,Costa Rica,Costa Rica,Costa Rica
